SESSIONKEY,USERID,AGENTLOCATIONID,SESSIONSTARTDATE,LASTTXNDATE,SESSIONDATELOCAL,FUNCTIONID,LOGINKEY,REMOTEADDRESS,TXNREFNO,SESSIONSTATUS,SESSIONDATELOCALLASTACCSSED,OTPNO
le18283042143678,10005amalt,784101,10/10/18 12:21,10/10/18 12:21,10/10/18 16:21,7006,1883913102152890,10.45.0.210, ,1,10/10/18 16:21,
kz18283043621951,10005amalt,784101,10/10/18 12:36,10/10/18 12:36,10/10/18 16:36,7006,1883352093490930,10.45.0.210, ,1,10/10/18 16:36,
zh18283043625901,10005amalt,784101,10/10/18 12:36,10/10/18 12:36,10/10/18 16:36,7006,1883352093490930,10.45.0.210, ,1,10/10/18 16:36,
ah18283043656591,10005amalt,784101,10/10/18 12:36,10/10/18 12:36,10/10/18 16:36,7006,1883352093490930,10.45.0.210, ,1,10/10/18 16:36,
hr18283043658095,10005amalt,784101,10/10/18 12:36,10/10/18 12:36,10/10/18 16:36,7006,1883352093490930,10.45.0.210, ,1,10/10/18 16:36,
ja18283043707674,10005amalt,784101,10/10/18 12:37,10/10/18 12:37,10/10/18 16:37,7006,1883352093490930,10.45.0.210, ,1,10/10/18 16:37,
is18283044509146,10005amalt,784101,10/10/18 12:45,10/10/18 12:45,10/10/18 16:45,7006,1883640101294810,10.45.0.210, ,1,10/10/18 16:45,
bn18283044541248,10005amalt,784101,10/10/18 12:45,10/10/18 12:45,10/10/18 16:45,7006,1883640101294810,10.45.0.210, ,1,10/10/18 16:45,
qi18283044554748,10005amalt,784101,10/10/18 12:45,10/10/18 12:45,10/10/18 16:45,7006,1883640101294810,10.45.0.210, ,1,10/10/18 16:45,
st18283045506648,10005amalt,784101,10/10/18 12:55,10/10/18 12:55,10/10/18 16:55,7006,1883246179626850,10.45.0.210, ,1,10/10/18 16:55,
lc18283045525701,10005amalt,784101,10/10/18 12:55,10/10/18 12:55,10/10/18 16:55,7006,1883246179626850,10.45.0.210, ,1,10/10/18 16:55,
